=== Log started at 2025-12-09 09:15:03 ===
[2025-12-09 09:15:03] === Process started ===
[2025-12-09 09:15:03] Fetching JSON data from: https://api.housamo.xyz/housamo/unity/json/?file=/housamo/adv2024/Android/Android&mode=raw
[2025-12-09 09:17:15]  SKIPPED (no change): tetsuya.chapter.asset
[2025-12-09 09:17:15]  SKIPPED (no change): tezcatlipoca.chapter.asset
[2025-12-09 09:17:16]  SKIPPED (no change): thehero.chapter.asset
[2025-12-09 09:17:17]  SKIPPED (no change): tindalos.chapter.asset
[2025-12-09 09:17:18]  SKIPPED (no change): touji.chapter.asset
[2025-12-09 09:17:19]  SKIPPED (no change): treasurehunt2022.chapter.asset
[2025-12-09 09:17:19]  SKIPPED (no change): treasureship.chapter.asset
[2025-12-09 09:17:20]  SKIPPED (no change): treasureship2018.chapter.asset
[2025-12-09 09:17:21]  SKIPPED (no change): triton.chapter.asset
[2025-12-09 09:17:21]  SKIPPED (no change): tropical2025.chapter.asset
[2025-12-09 09:17:22]  SKIPPED (no change): tuatgua.chapter.asset
[2025-12-09 09:17:23]  SKIPPED (no change): ulaanbaatar.chapter.asset
[2025-12-09 09:17:23]  SKIPPED (no change): valentine2017.chapter.asset
[2025-12-09 09:17:24]  SKIPPED (no change): valentine2021.chapter.asset
[2025-12-09 09:17:25]  SKIPPED (no change): valentinecross2024.chapter.asset
[2025-12-09 09:17:25]  SKIPPED (no change): valentinefantasy2022.chapter.asset
[2025-12-09 09:17:26]  SKIPPED (no change): valentinefesta2019.chapter.asset
[2025-12-09 09:17:27]  SKIPPED (no change): valentineidol2025.chapter.asset
[2025-12-09 09:17:28]  SKIPPED (no change): valentinesnow2023.chapter.asset
[2025-12-09 09:17:28]  SKIPPED (no change): valentinetime2020.chapter.asset
[2025-12-09 09:17:29]  SKIPPED (no change): vfesta2019.chapter.asset
[2025-12-09 09:17:30]  SKIPPED (no change): virtualsummer2020.chapter.asset
[2025-12-09 09:17:31]  SKIPPED (no change): vjail2018.chapter.asset
